severity,category,record_ids,amount,currency,reason,suggested_action
HIGH,AMOUNT_VARIANCE_UNEXPLAINED,BANK-5042 BILL-3057,-9880.00,USD,"Settlement $9,880.00 on 2026-03-17 is the closest fit to BILL-3057 ($9,800.00, 'Sable Media Group'), a variance of $80.00 (0.82%). Tested and rejected: tax, split. No FX rate, fee schedule, statutory tax rate or document subset explains the difference.",Do not book. Confirm the remitted amount against the vendor statement - an unexplained overpayment is the signature of both keying error and invoice fraud.
HIGH,DUPLICATE_BILLING,BILL-3053,-4500.00,USD,"Reference INV-63831 for 'Meridian Print Co' exists on 2 ledger documents at -$4,500.00, but only one settlement was found. Paying both would be a $4,500.00 overpayment.",Block for payment; confirm with vendor and void the duplicate.
HIGH,UNIDENTIFIED_OUTFLOW,BANK-5041,-2750.00,USD,"$2,750.00 settled on 2026-03-25 as 'WIRE OUT REF UNAVAILABLE', but no open ledger document resembles this counterparty above the 0.80 identity threshold.",Investigate against card/vendor master; possible unrecorded expense or unauthorised debit.
HIGH,UNIDENTIFIED_OUTFLOW,BANK-5040,-318.44,USD,"$318.44 settled on 2026-03-14 as 'CARD 4471 UNKNOWN MERCHANT SVC', but no open ledger document resembles this counterparty above the 0.80 identity threshold.",Investigate against card/vendor master; possible unrecorded expense or unauthorised debit.
MEDIUM,POLICY_HOLD,BANK-5030 BILL-3036 BILL-3034 BILL-3035 BILL-3037,-8655.75,USD,"Resolved at L3_AGENTIC but held: material item $8,655.75 at confidence 0.86 requires >= 0.88",Controller review; approve to book as proposed.
MEDIUM,POLICY_HOLD,BANK-5022 BILL-3022,-7350.00,USD,"Resolved at L2_SIMILARITY but held: material item $7,350.00 at confidence 0.85 requires >= 0.88",Controller review; approve to book as proposed.
MEDIUM,POLICY_HOLD,BANK-5017 BILL-3017,-7350.00,USD,"Resolved at L2_SIMILARITY but held: material item $7,350.00 at confidence 0.85 requires >= 0.88",Controller review; approve to book as proposed.
MEDIUM,POLICY_HOLD,BANK-5021 BILL-3021,-7350.00,USD,"Resolved at L2_SIMILARITY but held: material item $7,350.00 at confidence 0.81 requires >= 0.88",Controller review; approve to book as proposed.
MEDIUM,POLICY_HOLD,BANK-5031 BILL-3041 BILL-3038 BILL-3039 BILL-3040,-7030.25,USD,"Resolved at L3_AGENTIC but held: material item $7,030.25 at confidence 0.86 requires >= 0.88",Controller review; approve to book as proposed.
LOW,OPEN_RECEIVABLE,INV-1006,26500.00,USD,"No settlement found in the period. Document dated 2026-03-19, due 2026-05-03.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_RECEIVABLE,INV-1010,15750.00,USD,"No settlement found in the period. Document dated 2026-03-20, due 2026-04-19.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_RECEIVABLE,INV-1007,12000.00,USD,"No settlement found in the period. Document dated 2026-03-25, due 2026-04-24.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_RECEIVABLE,INV-1011,12000.00,USD,"No settlement found in the period. Document dated 2026-03-30, due 2026-04-29.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_PAYABLE,BILL-3057,-9800.00,USD,"No settlement found in the period. Document dated 2026-03-16, due 2026-04-15.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_RECEIVABLE,INV-1009,9300.00,USD,"No settlement found in the period. Document dated 2026-03-14, due 2026-04-13.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_PAYABLE,BILL-3055,-5200.00,USD,"No settlement found in the period. Document dated 2026-03-22, due 2026-05-06.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_PAYABLE,BILL-3054,-5200.00,USD,"No settlement found in the period. Document dated 2026-03-26, due 2026-05-10.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_RECEIVABLE,INV-1008,4800.00,USD,"No settlement found in the period. Document dated 2026-03-25, due 2026-04-24.",Chase the counterparty; ageing bucket feeds the cash forecast.
LOW,OPEN_PAYABLE,BILL-3056,-1450.60,USD,"No settlement found in the period. Document dated 2026-03-27, due 2026-05-11.",Chase the counterparty; ageing bucket feeds the cash forecast.
